2015地区名次,地区,客户, 2015数量 , 2015含税金额 , 2016数量 , 2016含税金额 
3,广东省深圳市,深圳市贺正饮水设备有限公司, 16 ," 2,780 ", 42 ," 5,280 "
3,广东省深圳市,深圳市密斯泰实业有限公司, 25 ," 2,450 ",,
3,广东省深圳市,深圳  郑小姐, 20 ," 2,400 ",,
3,广东省深圳市,深圳市佛加净水器材设备有限公司, 24 ," 2,400 ",,
3,广东省深圳市,深圳阿波罗, 24 ," 2,304 ",,
3,广东省深圳市,深圳市宝安区沙井贺正饮水设备经营部, 24 ," 2,280 ", 50 ," 4,750 "
3,广东省深圳市,深圳市海德能水处理设备有限公司, 11 ," 2,275 ",,
3,广东省深圳市,深圳多佳美, 12 ," 1,500 ",,
3,广东省深圳市,深圳市水王实业有限公司, 12 ," 1,500 ",,
3,广东省深圳市,深圳肖生, 9 ," 1,455 ", 5 , 865 
3,广东省深圳市,深圳市怡威泉净水设备有限公司, 8 ," 1,440 ",,
3,广东省深圳市,深圳市亚测科技有限公司, 12 ," 1,320 ", 20 ," 2,200 "
3,广东省深圳市,深圳市明球通货运代理有限公司, 4 ," 1,200 ",,
3,广东省深圳市,深圳深蓝水世界, 12 ," 1,152 ",,
3,广东省深圳市,深圳  彭新影, 4 ," 1,120 ",,
3,广东省深圳市,长威燃烧机, 10 ," 1,070 ",,
3,广东省深圳市,深圳冯先生, 6 , 960 ,,
3,广东省深圳市,深圳优康, 7 , 955 ,,
3,广东省深圳市,深圳 毛先生, 8 , 840 ,,
3,广东省深圳市,深圳 罗勇成, 4 , 640 , 2 , 320 
3,广东省深圳市,深圳  闫小姐, 5 , 600 ,,
3,广东省深圳市,深圳 黄八部, 2 , 600 ,,
3,广东省深圳市,深圳劳伦斯, 2 , 595 ,,
3,广东省深圳市,深圳市优美环境治理有限公司, 3 , 590 , 10 ," 1,920 "
3,广东省深圳市,深圳 陈先生, 2 , 580 ,,
3,广东省深圳市,深圳吴新启, 2 , 560 ,,
3,广东省深圳市,海德能供应链（深圳）有限公司, 2 , 550 , 13 ," 2,605 "
3,广东省深圳市,深圳市宝安区源泉兴电子化工商行, 3 , 460 , 46 ," 11,565 "
3,广东省深圳市,第一环保（深圳）股份有限公司, 3 , 420 ,,
3,广东省深圳市,深圳 尹生, 2 , 380 , 4 ," 1,015 "
3,广东省深圳市,深圳  刘先生, 2 , 330 ,,
3,广东省深圳市,深圳市绿点净水科技有限公司, 2 , 330 ,,
3,广东省深圳市,深圳 梁生, 1 , 290 ,,
3,广东省深圳市,深圳益源净水科技有限公司, 1 , 290 ,,
3,广东省深圳市,深圳百川电子有限公司, 2 , 210 ,,
3,广东省深圳市,恒拓高工业技术股份有限公司, 1 , 165 ,,
3,广东省深圳市,深圳  姜海龙, 1 , 135 ,,
3,广东省深圳市,深圳  吴嘉慧, 1 , 133 ,,
3,广东省深圳市,深圳  吴竣立, -   , 15 ,,
3,广东省深圳市,海澳迪净水设备,,, 12 ," 1,080 "
3,广东省深圳市,深圳  唐超界,,, 24 ," 3,360 "
3,广东省深圳市,深圳  赵小姐,,, 1 , 178 
3,广东省深圳市,深圳 曾小群,,, 24 ," 2,700 "
3,广东省深圳市,深圳 曾晓夏,,, 1 , 120 
3,广东省深圳市,深圳 邓国成,,, 2 , 560 
3,广东省深圳市,深圳 何艳霞,,, 12 ," 1,320 "
3,广东省深圳市,深圳 胡敏,,, 6 ," 1,380 "
3,广东省深圳市,深圳 黄一丰,,, 1 , 130 
3,广东省深圳市,深圳 林建亮,,, 4 , 920 
3,广东省深圳市,深圳 林先生,,, 1 , 160 
3,广东省深圳市,深圳 韦坤桥,,, 1 , 160 
3,广东省深圳市,深圳 叶琦,,, 14 ," 1,390 "
3,广东省深圳市,深圳创辉电子有限公司,,, 6 , 800 
3,广东省深圳市,深圳华界,,, 48 ," 4,470 "
3,广东省深圳市,深圳科蒂洛净水产业,,, 4 , 655 
3,广东省深圳市,深圳绿源电器,,, 24 ," 2,280 "
3,广东省深圳市,深圳世清泉,,, 2 , 200 
3,广东省深圳市,深圳市安吉尔饮水事业发展有限公司,,, 150 ," 18,075 "
3,广东省深圳市,深圳市百福康环保科技有限公司,,," 3,020 "," 396,850 "
3,广东省深圳市,深圳市华威电气有限公司,,, 10 ," 1,200 "
3,广东省深圳市,深圳市汇清科技股份有限公司,,, 3 , 780 
3,广东省深圳市,深圳市力勤水处理设备,,, 2 , 265 
3,广东省深圳市,深圳市迈博瑞科技有限公司,,, 6 ," 2,160 "
3,广东省深圳市,深圳市美迪宝电子有限公司,,, 4 , 825 
3,广东省深圳市,深圳市美活实业有限公司,,, 75 ," 7,500 "
3,广东省深圳市,深圳市信诺德科技有限公司,,, 4 ," 1,060 "
3,广东省深圳市,深圳市一达通企业服务有限公司,,," 6,542 "," 540,630 "
3,广东省深圳市,深圳市中科达力仪器设备有限公司（东莞宝元通）,,, 24 ," 3,150 "
3,广东省深圳市,深圳松岗 蔡总（马来西亚）,,, 67 ," 8,720 "
3,广东省深圳市,深圳星辰节能设备有限公司,,, 6 , 910 
4,山西省太原市,山西生命华文科技有限公司," 112,904 "," 11,015,740 "," -1,224 "," -116,784 "
4,山西省太原市,山西大能诚远节能技术有限公司, 372 ," 48,000 ", 48 ," 9,600 "
4,山西省太原市,山西龙福泉环保科技有限公司, 45 ," 13,300 ",,
4,山西省太原市,太原市小店区小熊电器商行, 48 ," 9,150 ",,
4,山西省太原市,山西太原  杨源娟, 25 ," 7,700 ",,
4,山西省太原市,山西省百佳水环保设备有限公司, 72 ," 7,500 ",,
4,山西省太原市,山西  冯祝平, 36 ," 6,760 ",,
4,山西省太原市,山西  陈紫鹏, 38 ," 5,420 ",,
4,山西省太原市,太原市新天河环保科技有限公司, 48 ," 4,920 ", 48 ," 8,760 "
4,山西省太原市,山西闫法乾, 31 ," 4,300 ",,
4,山西省太原市,太原天兰天科技开发有限公司, 36 ," 4,020 ",,
4,山西省太原市,山西省晋中市杜建茂, 12 ," 3,360 ",,
4,山西省太原市,山西晋中市  李权, 12 ," 3,180 ",,
4,山西省太原市,山西太原沁园净水器销售点, 12 ," 2,735 ",,
4,山西省太原市,太原 刘振年, 12 ," 1,855 ", 12 ," 1,860 "
4,山西省太原市,太原荣天玉泉净水设备销售部, 10 , 950 ,,
4,山西省太原市,山西艾维德科技有限公司, 3 , 495 ,,
4,山西省太原市,山西  李伶利,,, 24 ," 2,820 "
5,广东省佛山市,佛山市美的清湖净水设备有限公司," 53,334 "," 6,821,816 "," 25,483 "," 3,325,771 "
5,广东省佛山市,佛山市顺德区美的饮水机制造有限公司," 34,279 "," 2,971,979 ", 850 ," 73,695 "
5,广东省佛山市,佛山市天禾电器有限公司, 947 ," 194,820 ", 336 ," 57,480 "
5,广东省佛山市,广东碧涞节能设备有限公司, 707 ," 137,850 ", 960 ," 206,850 "
5,广东省佛山市,广东顺德爱隆节能设备有限公司, 522 ," 103,880 ", 96 ," 17,360 "
5,广东省佛山市,佛山尚之水净水科技有限公司, 310 ," 41,050 ",,
5,广东省佛山市,佛山市水之子电器有限公司, 231 ," 22,095 ",,
5,广东省佛山市,佛山市水滋邦净水科技有限公司, 170 ," 18,950 ", 206 ," 22,625 "
5,广东省佛山市,佛山市南海中禧机械有限公司, 71 ," 15,410 ", 44 ," 9,680 "
5,广东省佛山市,佛山市耐沃特生活电器有限公司, 95 ," 13,620 ", 26 ," 3,595 "
5,广东省佛山市,佛山天禾电器有限公司, 50 ," 9,000 ", 25 ," 3,250 "
5,广东省佛山市,佛山市麦克罗美的滤芯设备制造有限公司, 35 ," 8,655 ", 13 ," 4,500 "
5,广东省佛山市,佛山市顺德区永宸节能环保设备制造有限公司, 48 ," 6,540 ",,
5,广东省佛山市,广东韦博净水科技有限公司, 25 ," 6,200 ",,
5,广东省佛山市,佛山市贺众饮水设备有限公司, 58 ," 5,810 ", 66 ," 6,510 "
5,广东省佛山市,顺德鑫浩水家电, 36 ," 4,695 ", 34 ," 3,770 "
5,广东省佛山市,佛山金利源, 36 ," 4,290 ", 12 ," 1,800 "
5,广东省佛山市,佛山市绿宝直饮水设备有限公司, 36 ," 3,470 ", 24 ," 2,220 "
5,广东省佛山市,顺德区尚域环保科技有限公司, 25 ," 3,330 ", 18 ," 2,520 "
5,广东省佛山市,佛山市华邦环保设备科技有限公司, 30 ," 2,850 "," 7,242 "," 552,975 "
5,广东省佛山市,佛山市韩华滤芯科技有限公司, 10 ," 2,600 ",,
5,广东省佛山市,南海东华田金属制品厂, 4 ," 1,760 ",,
5,广东省佛山市,佛山 卢生, 12 ," 1,680 ",,
5,广东省佛山市,合丰橡胶制品有限公司, 12 ," 1,200 ",,
5,广东省佛山市,佛山利雅特科技有限公司, 5 , 900 ,,
5,广东省佛山市,佛山市南海东田洋实业有限公司, 2 , 800 ,,
5,广东省佛山市,佛山市顺德区清淳净水设备有限公司, 5 , 775 ,,
5,广东省佛山市,佛山市弘峻水处理设备有限公司, 2 , 580 , 1 , 290 
5,广东省佛山市,顺德佳敏, 2 , 580 ,,
5,广东省佛山市,佛山市顺德区今源饮水设备有限公司, 2 , 545 , 12 ," 1,100 "
5,广东省佛山市,容桂  卢先生, 4 , 530 , 3 , 440 
5,广东省佛山市,赛而得智能机械设备有限公司, 2 , 520 ,,
5,广东省佛山市,佛山市滤中滤, 2 , 500 ,,
5,广东省佛山市,广东汇众环境科技股份有限公司, 1 , 440 ,,
5,广东省佛山市,顺德鑫洁, 2 , 430 ,,
5,广东省佛山市,佛山南海  孟先生, 2 , 330 , 2 , 300 
5,广东省佛山市,佛山市海狮凯尔科技有限公司, 2 , 330 ,,
5,广东省佛山市,广东顺德净泉环保科技有限公司, 2 , 310 , 3 , 385 
5,广东省佛山市,佛山市美旗电器科技有限公司, 1 , 290 ,,
5,广东省佛山市,佛山南海  廖生, 2 , 270 ,,
5,广东省佛山市,顺德  欧阳先生, 2 , 265 ,,
5,广东省佛山市,佛山市宝露净水设备, 2 , 220 , 4 , 420 
5,广东省佛山市,佛山爱奴净水设备, 1 , 160 , 1 , 190 
5,广东省佛山市,大良 薛先生, 1 , 135 ,,
5,广东省佛山市,广东体必康生物科技有限公司, 1 , 130 ,,
5,广东省佛山市,佛山 顾金,,, 183 ," 41,144 "
5,广东省佛山市,佛山市德宇航节能科技有限公司,,, 1 , 150 
5,广东省佛山市,佛山市顺德区千野电器实业有限公司,,, 3 , 405 
5,广东省佛山市,佛山市顺德区容桂胡先生,,, 2 , 200 
5,广东省佛山市,佛山市顺德区愉升节能饮水设备有限公司,,, 18 ," 4,560 "
5,广东省佛山市,佛山天栈网络,,, 1 , 130 
5,广东省佛山市,广东大源小能节有限公司（佛山天禾）,,, 722 ," 115,700 "
5,广东省佛山市,广东滤中滤饮水产业集团有限公司,,," 9,864 "," 1,117,750 "
5,广东省佛山市,广东顺德百淳节能设备有限公司,,, 12 ," 1,140 "
5,广东省佛山市,广东顺德汇能电器有限公司,,, 4 , 490 
5,广东省佛山市,勒流 李才荣,,, 12 ," 1,610 "
5,广东省佛山市,刘小安,,, 7 , 825 
5,广东省佛山市,龙江  黄拥华,,, 1 , 160 
5,广东省佛山市,三角洲集团营销中心,,, 20 ," 1,280 "
5,广东省佛山市,顺德 吕先生,,, 12 ," 1,140 "
5,广东省佛山市,顺德蓝钰环保,,, 1 , 105 
5,广东省佛山市,兆帝清洁设备制造有限公司,,, 62 ," 15,500 "
6,广东省中山市,格力电器（中山）小家电制造有限公司," 94,167 "," 9,176,123 "," 38,870 "," 3,503,895 "
6,广东省中山市,中山市财运来电器, 440 ," 53,300 ",,
6,广东省中山市,中山市威可利节能环保设备有限公司, 158 ," 44,720 ", 16 ," 6,660 "
6,广东省中山市,中山市新锐医疗设备科技有限公司, 322 ," 35,440 ", 100 ," 10,750 "
6,广东省中山市,中山市威乐电器科技有限公司, 400 ," 34,400 "," 3,766 "," 278,261 "
6,广东省中山市,中山立淳节能设备科技有限公司, 158 ," 27,915 ", 130 ," 23,945 "
6,广东省中山市,中山溢利纯水设备有限公司, 196 ," 23,380 ", 324 ," 50,940 "
6,广东省中山市,中山合邦电器, 244 ," 22,240 ", 2 , 560 
6,广东省中山市,中山市蓝惠浦净水科技有限公司, 125 ," 18,625 ",,
6,广东省中山市,中山普臣电器科技实业有限公司, 108 ," 17,675 ",,
6,广东省中山市,中山市好啊优电器厂, 160 ," 15,000 ",,
6,广东省中山市,中山市贺众饮水设备有限公司, 92 ," 9,335 ", 127 ," 12,665 "
6,广东省中山市,中山创明 佛山市顺德工中江节能电子有限公司, 47 ," 7,970 ", 42 ," 7,459 "
6,广东省中山市,中山市浦露泉纯水设备有限供公司, 24 ," 3,865 ",,
6,广东省中山市,中山  高生, 24 ," 3,690 ",,
6,广东省中山市,中山方诺环保技术有限公司, 14 ," 2,220 ",,
6,广东省中山市,中山芯智联, 12 ," 1,500 ",,
6,广东省中山市,中山思源净水, 12 ," 1,225 ",,
6,广东省中山市,中山  司徒玲锋, 12 ," 1,170 ", 12 ," 1,110 "
6,广东省中山市,中山鸿旺水处理, 4 ," 1,040 ",,
6,广东省中山市,中山市雅乐思净水科技有限公司, 4 , 890 , 127 ," 13,354 "
6,广东省中山市,中山联昌电器有限公司, 5 , 800 ,,
6,广东省中山市,中山  司徒小姐, 4 , 770 , 18 ," 2,395 "
6,广东省中山市,中山  陈运辉, 4 , 500 ,,
6,广东省中山市,中山市蓝域环保有限公司, 3 , 420 , 4 , 900 
6,广东省中山市,中山  刘先生, 2 , 370 ,,
6,广东省中山市,中山市新生活家智能科技有限公司, 1 , 170 , 2 , 560 
6,广东省中山市,新月电器有限公司, 1 , 125 ,,
6,广东省中山市,广东创意电器科技有限公司,,, 60 ," 5,400 "
6,广东省中山市,广东戴思乐泳池装备有限公司,,, 2 , 210 
6,广东省中山市,广东东臣科技实业有限公司,,," 17,200 "," 1,074,000 "
6,广东省中山市,中山  黄先生,,, 3 , 390 
6,广东省中山市,中山  李总,,, 12 ," 1,140 "
6,广东省中山市,中山雷曼环境设备有限公司,,, 36 ," 3,240 "
6,广东省中山市,中山三行饮水机销售部,,, 12 ," 1,080 "
6,广东省中山市,中山市澳捷电器科技有限公司,,, 14 ," 1,635 "
6,广东省中山市,中山市韩膜环保设备有限公司,,, 780 ," 126,836 "
6,广东省中山市,中山市科美电器有限公司,,, 682 ," 78,425 "
6,广东省中山市,中山市清源净化科技有限公司,,, 756 ," 82,450 "
6,广东省中山市,中山市三恩盟电器有限公司,,, 102 ," 20,330 "
6,广东省中山市,中山市史麦斯净水科技有限公司,,," 2,460 "," 276,300 "
6,广东省中山市,中山市天隆燃具电器有限公司,,, 2 , 220 
6,广东省中山市,中山市信科携辉环保科技有限公司,,," 5,276 "," 536,500 "
6,广东省中山市,中山市宜达电器有限公司,,, 16 ," 2,770 "
6,广东省中山市,中山小榄沁园净水机专卖,,, 12 ," 1,320 "
6,广东省中山市,中山致雅电器,,, 2 , 230 
7,福建省厦门市,厦门金日生物技术有限公司," 54,062 "," 4,860,618 "," 61,940 "," 5,545,300 "
7,福建省厦门市,厦门建霖工业有限公司," 7,287 "," 1,165,678 "," 9,735 "," 1,388,456 "
7,福建省厦门市,厦门锐思捷科技仪器有限公司, 352 ," 89,400 ", 714 ," 155,760 "
7,福建省厦门市,三达膜科技（厦门）有限公司, 83 ," 12,515 ", 85 ," 12,750 "
7,福建省厦门市,厦门欧美克斯环保科技有限公司, 36 ," 9,000 ", 48 ," 5,520 "
7,福建省厦门市,厦门市科宁沃特水处理科技股份有限公司, 5 ," 2,250 ",,
7,福建省厦门市,厦门晶创美模型科技有限公司, 2 , 700 ,,
7,福建省厦门市,厦门世达膜科技有限公司, 2 , 320 , 2 , 820 
7,福建省厦门市,福建方明环保科技股份有限公司,,," 1,500 "," 207,500 "
7,福建省厦门市,厦门福美科技有限公司,,, 22 ," 2,980 "
7,福建省厦门市,厦门市芯沁源净水器有限公司,,, 12 ," 1,140 "
8,北京,北京办事处," 17,927 "," 2,392,298 "," 20,729 "," 2,751,242 "
8,北京,江海怡安（北京）净水设备有限公司," 11,892 "," 1,383,240 "," 11,004 "," 1,241,140 "
8,北京,北京朗润时代环保科技有限公司," 9,204 "," 1,111,878 "," 10,880 "," 1,194,800 "
8,北京,北京月牙泉环保科技有限公司," 4,420 "," 479,880 "," 24,076 "," 2,298,880 "
8,北京,北京东仪世博仪器有限公司, 504 ," 74,688 ", 486 ," 77,670 "
8,北京,北京英诺格林科技有限公司, 456 ," 58,260 ", 460 ," 50,120 "
8,北京,北京顺源通泰科技有限公司, 112 ," 20,080 ", 30 ," 3,510 "
8,北京,北京英泰, 84 ," 19,560 ", 160 ," 35,920 "
8,北京,北京恒润骏诺饮水设备有限公司, 108 ," 16,740 ", 54 ," 8,220 "
8,北京,北京盛盛科技发展有限公司, 65 ," 11,315 ",,
8,北京,北京国铁科林科技股份有限公司, 36 ," 5,652 ",,
8,北京,北京化工大学, 24 ," 3,960 ", 32 ," 5,986 "
8,北京,北京宏华电器有限公司, 24 ," 3,120 ",,
8,北京,北京郭亮, 12 ," 2,740 ", 45 ," 9,580 "
8,北京,合众高科（北京）环境技术有限公司, 12 ," 1,944 ",,
8,北京,山西埃尔气体系统工程有限公司（北京公司）, 12 ," 1,344 ", 24 ," 2,880 "
8,北京,北京伊洋环保, 5 , 860 ,,
8,北京,中科润蓝环保技术（北京）有限公司, 1 , 300 ,,
8,北京,北京英诺格林净水科技有限公司, -   , -   ," 2,028 "," 222,252 "
8,北京,北京爱思唯特科技有限公司,,, 992 ," 266,976 "
8,北京,北京百仕嘉环保科技有限公司,,, 648 ," 73,980 "
8,北京,北京碧水源净水科技有限公司,,, -   , -   
8,北京,北京大兴区  柳淼,,, 60 ," 8,040 "
8,北京,北京海德能水处理设备制造有限公司,,, 104 ," 18,720 "
8,北京,北京宏宝华兴饮水设备有限公司,,, 540 ," 51,780 "
8,北京,北京鸿海恒阳科技有限公司,,," 3,140 "," 384,376 "
8,北京,北京纳琦环保,,, 16 ," 2,000 "
8,北京,北京市自来水集团有限责任公司技术研究院,,, 2 , 330 
8,北京,北京中扬永康环保科技有限公司,,, 32 ," 6,384 "
9,上海,上海奔泰水处理设备有限公司," 42,045 "," 3,821,064 "," 33,528 "," 3,009,071 "
9,上海,上海通升水处理有限公司," 1,090 "," 170,330 ", 784 ," 133,540 "
9,上海,上海皓欣医疗科技股份有限公司, 680 ," 167,000 ", 930 ," 211,000 "
9,上海,上海和泰仪器有限公司, 901 ," 161,900 "," 1,472 "," 248,880 "
9,上海,上海生美水处理设备有限公司, 864 ," 107,940 ",,
9,上海,上海怡淳净水设备有限公司, 684 ," 104,940 ",,
9,上海,上海乐枫生物科技有限公司, 661 ," 96,905 ", 288 ," 46,955 "
9,上海,上海梅源环保科技发展有限公司, 740 ," 75,000 ",,
9,上海,上海甘润环保科技有限公司, 314 ," 72,500 ", 217 ," 41,750 "
9,上海,上海贺众饮水设备有限公司, 341 ," 66,135 ", 655 ," 108,675 "
9,上海,上海乐熙水处理科技有限公司, 408 ," 57,120 ",,
9,上海,上海复旦申花净化技术股份有限公司, 200 ," 54,000 ",,
